condition,iteration,macro_f1_mean,macro_f1_sd,acc_mean,acc_sd,n_seeds
naive,0,0.3702222222222222,0.11550853744300557,0.44,0.11401754250991379,5
few_shot,0,0.48977777777777776,0.15502767574505394,0.5599999999999999,0.13416407864998736,5
self_critique,0,0.3605714285714286,0.1459950609545722,0.44,0.1341640786499874,5
self_critique,1,0.31806926406926406,0.23483074443737342,0.4,0.2345207879911715,5
self_critique,2,0.4136190476190476,0.21460230581208567,0.48,0.216794833886788,5
realism_only,0,0.31701587301587303,0.0799589211741494,0.42,0.08366600265340755,5
realism_only,1,0.3377777777777778,0.05698169513314707,0.44,0.0547722557505166,5
realism_only,2,0.34939682539682543,0.2052782464807367,0.39999999999999997,0.1732050807568877,5
diversity_only,0,0.3081904761904762,0.07183882186207269,0.4,0.07071067811865475,5
diversity_only,1,0.2931111111111111,0.13817684142493936,0.36,0.15165750888103102,5
diversity_only,2,0.3504184704184704,0.23461400795841839,0.42,0.21679483388678797,5
full_classic,0,0.31352380952380954,0.1661234685489112,0.4,0.1414213562373095,5
full_classic,1,0.3361904761904762,0.17651707182023765,0.44,0.151657508881031,5
full_classic,2,0.3354920634920635,0.15420590397700593,0.4,0.1224744871391589,5
full_attrforge,0,0.24873593073593075,0.08620034905980746,0.34,0.0894427190999916,5
full_attrforge,1,0.365968253968254,0.1640728472933497,0.46,0.13416407864998736,5
full_attrforge,2,0.49352380952380953,0.18534444248014736,0.56,0.15165750888103102,5
